client_id,creative_id,campaign_id,campaign_name,funnel_stage,product_id,product_name,creative_angle,message_style,hook_type,visual_style,format,headline,primary_text,cta,creative_origin,data_type
brio,brio_cr_001,brio_cmp_001,Water Quality Awareness,TOF,brio_ro,Reverse Osmosis Systems,Purity / technical,technical,proof,product_graphic,static,Removes Up to 99.9% of Contaminants,Cleaner water starts at the tap.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_002,brio_cmp_001,Water Quality Awareness,TOF,brio_ro,Reverse Osmosis Systems,Problem / emotional,problem_led,fear_curiosity,illustrated_problem,video,There's Bad Guys in Your Water,Your tap deserves a superhero. Brio filtration helps reduce common contaminants.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_003,brio_cmp_001,Water Quality Awareness,TOF,brio_ro,Reverse Osmosis Systems,Purity / benefit,benefit_plus_proof,reassurance,water_lifestyle,static,"Pure Water, Zero Concerns",Cleaner-tasting water with filtration designed to reduce common contaminants.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_004,brio_cmp_001,Water Quality Awareness,TOF,brio_ro,Reverse Osmosis Systems,Category / lifestyle,category_led,routine,product_graphic,static,Everyday Hydration,Undersink filtration systems for cleaner water at home.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_005,brio_cmp_002,Cleaner Water Education,MOF,brio_ro,Reverse Osmosis Systems,Product / category,technical,product_type,product_graphic,static,Premium Refreshment,Tankless reverse osmosis systems for everyday drinking water.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_006,brio_cmp_002,Cleaner Water Education,MOF,brio_ro,Reverse Osmosis Systems,Education / technical,technical,education,educational_graphic,static,What Does Reverse Osmosis Remove?,Learn how reverse osmosis filtration works and what it is designed to reduce.,Learn More,synthetic_demo,demo_synthetic
brio,brio_cr_007,brio_cmp_002,Cleaner Water Education,MOF,brio_ro,Reverse Osmosis Systems,Purity / benefit,benefit_plus_proof,outcome,clean_kitchen,static,Cleaner Water Starts at the Tap,Reduce common impurities while improving everyday taste and quality.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_008,brio_cmp_002,Cleaner Water Education,MOF,brio_ro,Reverse Osmosis Systems,Product / category,technical,system_type,product_graphic,static,Entire Home Filtration,Whole-house filtration systems built for cleaner water throughout the home.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_009,brio_cmp_003,Q60 Consideration,MOF,brio_q60,Q60 Countertop Dispenser,Product / feature,technical,feature,product_graphic,static,RO Sparkling Water Dispenser,"Sparkling water, preset temperatures, and reverse osmosis.",Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_010,brio_cmp_003,Q60 Consideration,MOF,brio_q60,Q60 Countertop Dispenser,Convenience,customer_language,benefit,countertop_lifestyle,video,Filtered Water Without the Installation,A countertop setup designed to fit your routine.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_011,brio_cmp_003,Q60 Consideration,MOF,brio_q60,Q60 Countertop Dispenser,Lifestyle,customer_language,routine,morning_lifestyle,video,Upgrade Your Daily Ritual,"Still, sparkling, hot, or cold — right from your counter.",Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_012,brio_cmp_003,Q60 Consideration,MOF,brio_q60,Q60 Countertop Dispenser,Convenience,balanced,feature_benefit,product_lifestyle,static,One Countertop. More Ways to Hydrate.,Filtered still and sparkling water with temperature options.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_013,brio_cmp_004,Bottom Load Convenience,MOF,brio_bottom_load,Bottom Load Dispensers,Convenience,customer_language,pain_point,person_loading_jug,video,Lift Less. Drink More.,Skip the awkward lifting with a bottom-load dispenser.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_014,brio_cmp_004,Bottom Load Convenience,MOF,brio_bottom_load,Bottom Load Dispensers,Product / feature,technical,feature,product_graphic,static,Bottom-Load Water Dispensing,Hot and cold water with convenient bottle loading.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_015,brio_cmp_004,Bottom Load Convenience,MOF,brio_bottom_load,Bottom Load Dispensers,Routine / ease,customer_language,benefit,home_lifestyle,video,Make Refills the Easy Part,A simpler way to keep water ready at home.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_016,brio_cmp_005,Ice & Hydration Lifestyle,TOF,brio_ice,Ice & Water Dispensers,Problem / bad ice,customer_language,problem,freezer_problem,video,Does Your Freezer Ice Taste Like Your Leftovers?,Clearer-tasting ice can make every drink better.,Learn More,public_ad_inspired,demo_synthetic
brio,brio_cr_017,brio_cmp_005,Ice & Hydration Lifestyle,TOF,brio_ice,Ice & Water Dispensers,Lifestyle,customer_language,routine,coffee_morning,video,6 AM Morning Ritual,Better water and ice for the routines you actually enjoy.,Learn More,public_ad_inspired,demo_synthetic
brio,brio_cr_018,brio_cmp_005,Ice & Hydration Lifestyle,TOF,brio_ice,Ice & Water Dispensers,Product / feature,technical,feature,product_graphic,static,Ice & Water at Your Fingertips,An all-in-one dispenser for water and ice.,Learn More,public_ad_inspired,demo_synthetic
brio,brio_cr_019,brio_cmp_005,Ice & Hydration Lifestyle,TOF,brio_ice,Ice & Water Dispensers,Entertaining / convenience,customer_language,benefit,entertaining_lifestyle,video,Never Run Out of Ice Again,Keep drinks chilled without the freezer scramble.,Learn More,public_ad_inspired,demo_synthetic
brio,brio_cr_020,brio_cmp_006,Retargeting & Purchase,BOF,brio_q60,Q60 Countertop Dispenser,Offer / promotion,direct_response,discount,promo_graphic,static,Bring Better Water Home,Limited-time savings on select countertop dispensers.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_021,brio_cmp_006,Retargeting & Purchase,BOF,brio_q60,Q60 Countertop Dispenser,Social proof,customer_language,proof,review_graphic,static,A Countertop Upgrade Worth Making,See why customers choose Brio for everyday hydration.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_022,brio_cmp_006,Retargeting & Purchase,BOF,brio_ice,Ice & Water Dispensers,Offer / promotion,direct_response,discount,promo_graphic,static,Save on Ice & Water,Limited-time savings on select Brio dispensers.,Shop Now,public_ad_inspired,demo_synthetic
brio,brio_cr_023,brio_cmp_006,Retargeting & Purchase,BOF,brio_bottom_load,Bottom Load Dispensers,Convenience,customer_language,benefit,home_lifestyle,video,An Easier Water Routine Starts Here,Bottom-load convenience for everyday hydration.,Shop Now,synthetic_demo,demo_synthetic
brio,brio_cr_024,brio_cmp_006,Retargeting & Purchase,BOF,brio_ro,Reverse Osmosis Systems,Purity / technical,technical,proof,product_graphic,static,Advanced Filtration for Your Home,Shop Brio reverse osmosis filtration systems.,Shop Now,synthetic_demo,demo_synthetic
